625    C    
683    C    
343    C    
656    C    
683    A    8
625    A    9
585    C    
27    C    
620    C    
585    A    1
343    A    5
585    A    7
343    R    5
468    C    
656    A    4
27    A    0
27    A    8
703    C    
468    T    
683    A    3
0    C    
27    R    8
585    T    
343    A    9
620    A    6
703    A    9
343    A    7
703    A    4
683    W    3
620    W    6
585    C    
656    W    4
468    C    
703    R    9
683    R    3
620    W    6
620    W    6
468    A    9
0    A    2
0    R    2
27    W    0
703    W    4
0    W    2
703    R    4
656    R    4
703    W    4
585    W    7
27    A    7
585    W    7
343    R    5
620    R    6
343    A    4
656    W    4
703    W    4
343    A    8
703    A    1
0    R    2
703    R    4
620    R    6
625    A    1
683    A    9
585    W    7
656    W    4
585    A    3
27    R    0
625    W    9
27    A    9
27    R    7
656    A    0
625    W    1
620    W    6
27    W    7
625    W    9
703    W    9
625    T    
625    C    
703    A    3
703    A    0
0    W    2
0    R    2
683    R    8
343    A    3
620    W    6
468    W    9
468    R    9
625    W    9
585    R    1
625    A    2
625    W    1
0    R    2
703    W    3
656    W    4
0    R    2
683    A    6
656    R    0
585    A    9
27    W    9
620    A    9
343    R    9
0    T    
343    T    
683    T    
585    T    
620    T    
